品类,方法,验证截止日,验证天数,绝对百分比误差加权,平均绝对误差
食用菌,近7日均值,2023-01-27,7,0.31051154046014023,1.4583414574736824
食用菌,近14日均值,2023-01-27,7,0.15855965272254777,0.744687668307788
食用菌,指数加权移动平均,2023-01-27,7,0.30493978013962414,1.4321732543387056
食用菌,同星期近8次中位数,2023-01-27,7,0.1250128037554359,0.5871322984047891
食用菌,近180日趋势加星期,2023-01-27,7,0.14482562162280577,0.6801847293789925
食用菌,近7日均值,2023-03-03,7,0.06957894954221812,0.3074573129448311
食用菌,近14日均值,2023-03-03,7,0.06243205005443326,0.27587640339016994
食用菌,指数加权移动平均,2023-03-03,7,0.08033033617407855,0.3549658261663057
食用菌,同星期近8次中位数,2023-03-03,7,0.08057259209255682,0.35603631306256334
食用菌,近180日趋势加星期,2023-03-03,7,0.10865649366546011,0.4801342043274031
食用菌,近7日均值,2023-04-07,7,0.05490344308175694,0.22860478161219935
食用菌,近14日均值,2023-04-07,7,0.05577332871462956,0.23222677695471935
食用菌,指数加权移动平均,2023-04-07,7,0.05705703157808098,0.2375718080908773
食用菌,同星期近8次中位数,2023-04-07,7,0.06941097934205484,0.2890106864582372
食用菌,近180日趋势加星期,2023-04-07,7,0.12187548735219603,0.5074603268239614
食用菌,近7日均值,2023-05-12,7,0.04022328131064069,0.13863853740614734
食用菌,近14日均值,2023-05-12,7,0.041367188963846044,0.14258127103703425
食用菌,指数加权移动平均,2023-05-12,7,0.03904135135479067,0.13456475140320848
食用菌,同星期近8次中位数,2023-05-12,7,0.1614497444522221,0.5564726622522232
食用菌,近180日趋势加星期,2023-05-12,7,0.23597188732430027,0.8133298990441834
食用菌,近7日均值,2023-06-16,7,0.09750153110367894,0.368060941750072
食用菌,近14日均值,2023-06-16,7,0.13187312647898694,0.49781112741470446
食用菌,指数加权移动平均,2023-06-16,7,0.09253295653688023,0.3493049467055758
食用菌,同星期近8次中位数,2023-06-16,7,0.1307036107139834,0.49339629342198454
食用菌,近180日趋势加星期,2023-06-16,7,0.1277104935203306,0.48209750128411816
