品类,价格响应模型,含时间趋势,验证截止日,WAPE,MAE,RMSE,价格系数
茄类,对数-对数,否,2023-01-27,0.3716079491739464,6.236749297836225,7.386038269395393,-0.36859516487241095
茄类,对数-对数,否,2023-03-03,0.5888514992500531,6.843295637713118,7.091624534193381,-0.3939565641969494
茄类,对数-对数,否,2023-04-07,0.5938000564189994,8.33644382064582,8.691504472628274,-0.3981940078875181
茄类,对数-对数,否,2023-05-12,0.3270387945404655,6.6842057621292,8.127991582269866,-0.40017710470388834
茄类,对数-对数,否,2023-06-16,0.2178887563581372,7.0772446952686545,8.776207665010904,-0.3967297250322881
茄类,对数-对数,是,2022-10-14,0.712262133278468,8.518960369210454,12.040029373395578,-0.2989340145589413
茄类,对数-对数,是,2022-11-18,0.7757626867016559,14.34839582999287,21.6087256202424,-0.2183439595924836
茄类,对数-对数,是,2022-12-23,0.3305655177855205,2.544551684976743,3.1470154593722817,-0.1751391271145441
茄类,对数-对数,是,2023-01-27,0.21206162971587414,3.5590606260400466,5.656586671913684,-0.11295432497481186
茄类,对数-对数,是,2023-03-03,0.16141987059363855,1.875929496113214,2.064180996464214,-0.10793724454041947
茄类,对数-对数,是,2023-04-07,0.16097860974762826,2.2600016991912026,2.6691984526600567,-0.1303046759821414
茄类,对数-对数,是,2023-05-12,0.24979069887410438,5.105365041131159,5.83649756826953,-0.18180924779276308
茄类,对数-对数,是,2023-06-16,0.30275678815133117,9.833843235943387,13.384185702554747,-0.17119271477878864
辣椒类,半对数,否,2022-10-14,0.5318378487457529,82.81763785301757,129.87092437382756,-0.0312869080436522
辣椒类,半对数,否,2022-11-18,0.6626850394975888,128.97677985946268,177.4222016311986,-0.043333899947776824
辣椒类,半对数,否,2022-12-23,0.29522716922222053,34.83984259053402,39.35340378097553,-0.05336969490387723
辣椒类,半对数,否,2023-01-27,0.17137172877324866,28.798137680025032,33.88244349985509,-0.0577915621158816
辣椒类,半对数,否,2023-03-03,0.09462108952280246,10.107208506049707,13.50222219274765,-0.056455792313961736
辣椒类,半对数,否,2023-04-07,0.08958971607338169,6.865336733888445,9.43302779422634,-0.05825407260083512
辣椒类,半对数,否,2023-05-12,0.14953132935615132,11.43348586684852,15.649098860038082,-0.0583480230339669
辣椒类,半对数,否,2023-06-16,0.36731978544614924,36.99833786331845,44.330130107557956,-0.058010371135414754
辣椒类,半对数,是,2022-10-14,0.5570765887331998,86.74780723279423,132.47177778620747,-0.03512826547967608
辣椒类,半对数,是,2022-11-18,0.663136518257703,129.06465007409528,177.49134365829119,-0.0435028555013947
辣椒类,半对数,是,2022-12-23,0.2903299045138417,34.26191498307975,38.850611759470375,-0.05166950887425037
辣椒类,半对数,是,2023-01-27,0.16706767036278297,28.074862799303816,32.615776138405295,-0.0533722606253586
辣椒类,半对数,是,2023-03-03,0.08081248158935289,8.632204569131044,12.095824420960998,-0.05241219824264101
辣椒类,半对数,是,2023-04-07,0.1179383775911516,9.037718964847883,11.767249857082438,-0.05213128577526316
辣椒类,半对数,是,2023-05-12,0.09843012032049149,7.526177921391179,12.218569603422418,-0.05004486313376298
辣椒类,半对数,是,2023-06-16,0.3054077782097157,30.762242089856215,38.776010100444985,-0.04699185964942454
辣椒类,对数-对数,否,2022-10-14,0.4974389032302517,77.46104388561388,127.00730417111006,-0.45835251991555126
辣椒类,对数-对数,否,2022-11-18,0.5813660325207635,113.14985902058008,165.07942348800245,-0.5858812000038812
辣椒类,对数-对数,否,2022-12-23,0.18926411695009518,22.335112516742715,24.696415287298784,-0.6297066140841184
辣椒类,对数-对数,否,2023-01-27,0.18240634980632517,30.652448995153943,35.50695053666141,-0.6422135868474604
辣椒类,对数-对数,否,2023-03-03,0.08726359670129283,9.321297939982498,12.728536798096705,-0.6287042652715888
辣椒类,对数-对数,否,2023-04-07,0.08414173713518146,6.447853438157929,9.552750713369056,-0.6432662057613463
辣椒类,对数-对数,否,2023-05-12,0.17405184788256345,13.308377257346262,17.384271013402163,-0.6411209139388613
辣椒类,对数-对数,否,2023-06-16,0.365743562903481,36.83957262253354,44.0575974529966,-0.6344603649606716
辣椒类,对数-对数,是,2022-10-14,0.5356859064550771,83.41685630006847,130.8408129816622,-0.5328797353623617
辣椒类,对数-对数,是,2022-11-18,0.5896959082712969,114.77108250820818,166.2771389966367,-0.641983995165846
辣椒类,对数-对数,是,2022-12-23,0.19277333348342154,22.749236162473856,25.031461324123704,-0.6865672223701912
