品类,方法,回测WAPE,回测MAE,路径变化误差,方向命中率,预测波动比中位数,回测次数,是否动态,距最优WAPE,是否入选,综合路径评分
辣椒类,近14日均值+近周形状rho=0.30,0.14981058333062564,0.4763841843309081,0.10595630233551111,0.37499999999999994,0.26711747446674483,8,是,0.035281252042121944,否,0.2027887344983812
辣椒类,近14日均值+近周形状rho=0.45,0.15108148397140606,0.48042553409181,0.11416470931121353,0.37499999999999994,0.40067621170011697,8,是,0.036552152682902364,否,0.20816383862701282
辣椒类,近14日均值+近周形状rho=0.60,0.1531116805678144,0.4868813767172735,0.12348454641494781,0.37499999999999994,0.5342349489334893,8,是,0.038582349279310715,否,0.21485395377528832
食用菌,近14日均值,0.10251724089238745,0.40473955580325227,0.08990849982303774,0.10714285714285714,4.966594433048608e-16,8,否,0.0,是,0.1474714908039063
食用菌,近14日均值+近周形状rho=0.15,0.10357678705188929,0.40892265942774375,0.09340062406813375,0.5,0.14882377039930766,8,是,0.0010595461595018368,否,0.15027709908595616
食用菌,近14日均值+近周形状rho=0.30,0.1053956952891739,0.4161037355628129,0.09834670407021896,0.4821428571428571,0.29764754079861566,8,是,0.0028784543967864534,否,0.1545690473242834
食用菌,近14日均值+近周形状rho=0.45,0.10874288088034381,0.42931847288473546,0.10574076135845942,0.4821428571428571,0.4464713111979237,8,是,0.006225639987956361,否,0.1616132615595735
食用菌,近7日均值,0.11028534117245296,0.43540812851766203,0.08989883378182953,0.10714285714285714,0.0,8,否,0.0077681002800655125,否,0.15523475806336773
食用菌,近7日均值+近周形状rho=0.15,0.11069161529462485,0.437012104651928,0.09361587221384343,0.5,0.15175464036621616,8,是,0.008174374402237394,否,0.15749955140154656
食用菌,指数加权移动平均,0.11149541569261215,0.4401855202960085,0.09018764427348858,0.10714285714285714,1.1371500252630233e-15,8,否,0.008978174800224697,否,0.15658923782935644
食用菌,近7日均值+近周形状rho=0.45,0.1115292950964652,0.4403192766744185,0.10232609391538587,0.4821428571428571,0.45526392109864827,8,是,0.009012054204077746,否,0.16269234205415814
食用菌,近7日均值+近周形状rho=0.30,0.11158496905684949,0.4405390782785156,0.09813011233618554,0.4821428571428571,0.30350928073243233,8,是,0.009067728164462038,否,0.16065002522494226
食用菌,指数加权移动平均+近周形状rho=0.15,0.11188999470058872,0.4417433239495945,0.09397638532245478,0.5,0.1504469424302412,8,是,0.009372753808201267,否,0.1588781873618161
食用菌,近7日均值+近周形状rho=0.60,0.11201455255945245,0.44223508018522345,0.10741993192741926,0.4464285714285714,0.6070185614648645,8,是,0.009497311667064995,否,0.16572451852316208
食用菌,指数加权移动平均+近周形状rho=0.45,0.11207442860966245,0.4424714717009754,0.10254671324845789,0.4642857142857143,0.451340827290724,8,是,0.009557187717274998,否,0.1633477852338914
食用菌,指数加权移动平均+近周形状rho=0.60,0.11209360076933303,0.44254716366577385,0.10724991335997015,0.4642857142857143,0.601787769720965,8,是,0.009576359876945578,否,0.1657185574493181
食用菌,指数加权移动平均+近周形状rho=0.30,0.11247664878444687,0.4440594427920843,0.09869426060723029,0.5,0.3008938848604827,8,是,0.009959407892059416,否,0.161823779088062
食用菌,近14日均值+近周形状rho=0.60,0.11264195729399057,0.44471208318838057,0.11387580493595004,0.4821428571428571,0.5952950815972315,8,是,0.010124716401603118,否,0.1695798597619656
食用菌,近21日阻尼趋势,0.12414720547867851,0.49013497010127405,0.09140630181908188,0.5714285714285714,0.0734379239882694,8,是,0.02162996458629106,否,0.16985035638821944
