口径,品类,模型,验证截止日,验证天数,绝对百分比误差加权,平均绝对误差,均方根误差,价格系数
正常销售,水生根茎类,对数需求（星期和月份）,2023-04-07,7,0.36975180804303515,7.2145972785357015,8.589834551007007,-0.6399757377124595
正常销售,水生根茎类,对数需求（星期和月份）,2023-05-12,7,0.2911845187794816,3.534064906638171,4.963480919786916,-0.6492640752004726
正常销售,水生根茎类,对数需求（星期和月份）,2023-06-16,7,0.310592188581732,5.331581138881356,8.13892080059205,-0.625077520502001
正常销售,水生根茎类,对数需求（星期、月份和趋势）,2022-10-14,7,0.39648319145809735,23.81306368125294,30.978921369640425,-0.7421601835773611
正常销售,水生根茎类,对数需求（星期、月份和趋势）,2022-11-18,7,0.7077913123419091,69.44029341037388,107.36876178849165,-0.7006235698809002
正常销售,水生根茎类,对数需求（星期、月份和趋势）,2022-12-23,7,0.20035852678029026,13.677074113602954,16.25185611868859,-0.6790199265928096
正常销售,水生根茎类,对数需求（星期、月份和趋势）,2023-01-27,7,0.99465805138963,44.74753432190933,47.85335749226528,-0.6420955014561636
正常销售,水生根茎类,对数需求（星期、月份和趋势）,2023-03-03,7,0.7642583895765263,17.35630802728291,18.59320368320903,-0.5310617729016539
正常销售,水生根茎类,对数需求（星期、月份和趋势）,2023-04-07,7,0.3352304269670025,6.541016090980152,7.44024642754305,-0.5437574096942397
正常销售,水生根茎类,对数需求（星期、月份和趋势）,2023-05-12,7,0.2365941837278429,2.8715098087357256,4.005548790976019,-0.5364495978599199
正常销售,水生根茎类,对数需求（星期、月份和趋势）,2023-06-16,7,0.31064663459323755,5.332515751336859,7.550142182374371,-0.4963579066294077
正常销售,茄类,对数需求（星期和月份）,2022-10-14,7,1.036040308836959,12.391486110965245,13.831626536209248,-0.6992916916176846
正常销售,茄类,对数需求（星期和月份）,2022-11-18,7,0.73603638104291,13.61362375571523,19.549176810527523,-0.6137005607560458
正常销售,茄类,对数需求（星期和月份）,2022-12-23,7,0.3797025748640868,2.9227876916287987,3.545923910004861,-0.4678687341621342
正常销售,茄类,对数需求（星期和月份）,2023-01-27,7,0.3716079491739458,6.236749297836214,7.38603826939538,-0.36859516487241106
正常销售,茄类,对数需求（星期和月份）,2023-03-03,7,0.5888514992500554,6.843295637713145,7.091624534193407,-0.3939565641969496
正常销售,茄类,对数需求（星期和月份）,2023-04-07,7,0.5938000564189994,8.33644382064582,8.691504472628276,-0.3981940078875186
正常销售,茄类,对数需求（星期和月份）,2023-05-12,7,0.3270387945404644,6.684205762129177,8.127991582269843,-0.4001771047038888
正常销售,茄类,对数需求（星期和月份）,2023-06-16,7,0.21788875635813734,7.077244695268659,8.776207665010908,-0.3967297250322912
正常销售,茄类,对数需求（星期、月份和趋势）,2022-10-14,7,0.7122621332784673,8.518960369210445,12.040029373395578,-0.2989340145589433
正常销售,茄类,对数需求（星期、月份和趋势）,2022-11-18,7,0.775762686701656,14.348395829992873,21.6087256202424,-0.2183439595924814
正常销售,茄类,对数需求（星期、月份和趋势）,2022-12-23,7,0.33056551778551974,2.5445516849767373,3.1470154593722763,-0.17513912711454296
正常销售,茄类,对数需求（星期、月份和趋势）,2023-01-27,7,0.21206162971587408,3.5590606260400457,5.656586671913684,-0.11295432497481013
正常销售,茄类,对数需求（星期、月份和趋势）,2023-03-03,7,0.16141987059363846,1.8759294961132127,2.06418099646421,-0.10793724454042113
正常销售,茄类,对数需求（星期、月份和趋势）,2023-04-07,7,0.16097860974762795,2.2600016991911986,2.6691984526600496,-0.13030467598214132
正常销售,茄类,对数需求（星期、月份和趋势）,2023-05-12,7,0.2497906988741043,5.105365041131157,5.836497568269539,-0.1818092477927619
正常销售,茄类,对数需求（星期、月份和趋势）,2023-06-16,7,0.3027567881513307,9.833843235943373,13.384185702554735,-0.1711927147787899
正常销售,辣椒类,对数需求（星期和月份）,2022-10-14,7,0.497438903230252,77.46104388561392,127.00730417111008,-0.45835251991555215
正常销售,辣椒类,对数需求（星期和月份）,2022-11-18,7,0.581366032520762,113.14985902057981,165.0794234880022,-0.5858812000038849
正常销售,辣椒类,对数需求（星期和月份）,2022-12-23,7,0.18926411695009496,22.33511251674269,24.69641528729875,-0.6297066140841197
正常销售,辣椒类,对数需求（星期和月份）,2023-01-27,7,0.18240634980632495,30.652448995153907,35.50695053666142,-0.6422135868474601
