品类,模型,验证截止日,验证天数,绝对百分比误差加权,平均绝对误差,均方根误差
辣椒类,含时间趋势,2022-12-23,7,0.19303877744009082,23.9663709124878,25.799880738569776
辣椒类,含时间趋势,2023-01-27,7,0.15836289695186437,27.58808355219039,31.496315058599038
辣椒类,含时间趋势,2023-03-03,7,0.07623623188390788,9.071011614267857,14.173219509886804
辣椒类,含时间趋势,2023-04-07,7,0.06716408961133057,6.572927275983365,8.841148165148896
辣椒类,含时间趋势,2023-05-12,7,0.20386444987558017,17.44124440369835,21.131166705461585
辣椒类,含时间趋势,2023-06-16,7,0.3290625498343016,35.57575141449309,43.093375615831874
食用菌,不含趋势,2022-10-14,7,0.48796175672195846,81.97562328226213,102.18436492263362
食用菌,不含趋势,2022-11-18,7,0.6619806502674535,106.11171549129983,158.65852074235988
食用菌,不含趋势,2022-12-23,7,0.20331731215454132,25.939571228640073,27.800829290745618
食用菌,不含趋势,2023-01-27,7,0.20426180873392277,24.7263588313756,27.996892671360882
食用菌,不含趋势,2023-03-03,7,0.28214312051923185,20.081496296796253,23.180079829892687
食用菌,不含趋势,2023-04-07,7,0.3128323630740482,23.461354662451647,29.05084994704708
食用菌,不含趋势,2023-05-12,7,0.323851788936659,22.105475409238473,24.676740143997844
食用菌,不含趋势,2023-06-16,7,0.1826201166319388,11.587559463353601,15.94339451596297
食用菌,含时间趋势,2022-10-14,7,0.5876063403271996,98.71551474960823,116.85395517060981
食用菌,含时间趋势,2022-11-18,7,0.6522677159943784,104.55478762980746,168.0901249491328
食用菌,含时间趋势,2022-12-23,7,0.34917914034425274,44.548873317931786,45.57216053412833
食用菌,含时间趋势,2023-01-27,7,0.27245475811918596,32.9812712240603,37.67400779956541
食用菌,含时间趋势,2023-03-03,7,0.3700116061898859,26.335523211764244,29.135362569585663
食用菌,含时间趋势,2023-04-07,7,0.34384499281474057,25.78719556398732,31.178561808764147
食用菌,含时间趋势,2023-05-12,7,0.34655404109415977,23.65508573700516,26.212942898640428
食用菌,含时间趋势,2023-06-16,7,0.1886347778865726,11.969200030807981,16.87412110364811
