品类,成本口径,成本预测方法,池化加权绝对百分比误差,折均加权绝对百分比误差,平均绝对误差,路径变化误差,方向准确率,百分之九十区间覆盖率,百分之九十区间平均宽度,回测折数,是否入选
食用菌,销量加权成本,近7日均值,0.11236547575960708,0.10671204718453145,0.5005860624319873,0.5913202745689325,0.7532467532467532,0.9090909090909093,2.315726730890923,22,否
食用菌,销量加权成本,近14日均值,0.11145992122944216,0.10823407788439775,0.49655183418253407,0.5913202745689325,0.7662337662337663,0.9090909090909093,2.315726730890923,22,否
食用菌,销量加权成本,近7日中位数,0.12038554897850873,0.11261200912269685,0.5363153364454332,0.5913202745689325,0.6493506493506493,0.9025974025974026,2.315726730890923,22,否
食用菌,销量加权成本,近14日中位数,0.11067464664041148,0.10690059422078396,0.4930534507885831,0.5913202745689325,0.7142857142857143,0.9155844155844157,2.315726730890923,22,否
食用菌,销量加权成本,指数加权移动平均,0.1122387425862334,0.10866429963159106,0.5000214685493044,0.5913202745689325,0.7532467532467532,0.9090909090909091,2.315726730890923,22,否
食用菌,销量加权成本,同星期最近4次统计,0.134463082524051,0.1276950784666368,0.5990304812768718,0.7313727357035418,0.6363636363636364,0.8441558441558444,2.315726730890923,22,否
食用菌,销量加权成本,同星期最近8次统计,0.13396604925728942,0.1339980598808996,0.596816207504399,0.6638841013551001,0.6883116883116882,0.8181818181818183,2.315726730890923,22,否
食用菌,销量加权成本,指数加权移动平均加周内收缩,0.11196780998959163,0.10963922517360976,0.4988144689720718,0.6077010095764073,0.7532467532467532,0.9025974025974027,2.315726730890923,22,否
食用菌,销量加权成本,阻尼趋势,0.12792119454515635,0.1260606585398356,0.5698864944598528,0.5901819801366203,0.5584415584415584,0.8571428571428572,2.315726730890923,22,否
食用菌,销量加权成本,指数平滑,0.11169554065503313,0.10780121216330846,0.4976015142527842,0.5913202745689325,0.7532467532467532,0.9090909090909091,2.315726730890923,22,否
食用菌,销量加权成本,滞后稳健回归,0.13194577480827954,0.13146814694215547,0.5878159231677279,0.5913202745689325,0.48701298701298695,0.8441558441558442,2.315726730890923,22,否
食用菌,固定篮子成本,近7日均值,0.08086186256074238,0.07479375251033016,0.35297082645518335,0.24481368973193438,0.5584415584415584,0.9155844155844156,2.9529723673637567,22,否
食用菌,固定篮子成本,近14日均值,0.09355824186606403,0.08920414573720219,0.40839190327024516,0.24481368973193438,0.6038961038961038,0.8766233766233765,2.9529723673637567,22,否
食用菌,固定篮子成本,近7日中位数,0.08428656834851367,0.08108511607127109,0.36792003976779336,0.24481368973193438,0.512987012987013,0.8766233766233765,2.9529723673637567,22,否
食用菌,固定篮子成本,近14日中位数,0.09433127462982856,0.0894699376247108,0.41176627537672417,0.24481368973193438,0.6103896103896104,0.8701298701298701,2.9529723673637567,22,否
食用菌,固定篮子成本,指数加权移动平均,0.0698138141250284,0.06184532516680527,0.30474489319596,0.24481368973193438,0.5584415584415584,0.9415584415584418,2.9529723673637567,22,否
食用菌,固定篮子成本,同星期最近4次统计,0.13063728977222655,0.12679264663896303,0.5702459809422518,0.3055527928434385,0.5194805194805194,0.8376623376623378,2.9529723673637567,22,否
食用菌,固定篮子成本,同星期最近8次统计,0.1924972663029987,0.20011570562020864,0.8402715077987835,0.3254502670473434,0.5519480519480519,0.7532467532467533,2.9529723673637567,22,否
食用菌,固定篮子成本,指数加权移动平均加周内收缩,0.09896563893829458,0.09646173478256394,0.4319957797221733,0.26527705030131415,0.6233766233766233,0.9090909090909093,2.9529723673637567,22,否
食用菌,固定篮子成本,阻尼趋势,0.07380056795106917,0.06481207643173544,0.3221475073367597,0.24764341719122152,0.551948051948052,0.9415584415584416,2.9529723673637567,22,否
食用菌,固定篮子成本,指数平滑,0.07211782681802296,0.06441839122252586,0.3148021592377682,0.24481368973193438,0.5584415584415584,0.9415584415584418,2.9529723673637567,22,否
食用菌,固定篮子成本,滞后稳健回归,0.053352895146707505,0.04650482590091087,0.23289119119119633,0.24481368973193438,0.44155844155844154,0.9675324675324677,2.9529723673637567,22,是
