品类,成本口径,成本预测方法,折组,训练截止日,测试开始日,测试结束日,训练样本数,测试样本数,使用最大日期,泄漏检查,加权绝对百分比误差,平均绝对误差,路径变化误差,方向准确率,百分之九十区间覆盖率,百分之九十区间平均宽度
花叶类,销量加权成本,近14日中位数,近期滚动回测,2023-04-07,2023-04-08,2023-04-14,1001,7,2023-04-07,通过,0.09741889126567888,0.2873904551763146,0.32183040663736934,1.0,1.0,1.1277597776013302
花叶类,销量加权成本,近14日中位数,近期滚动回测,2023-04-14,2023-04-15,2023-04-21,1008,7,2023-04-14,通过,0.05351946569952203,0.16388972425795245,0.27479837638199983,1.0,1.0,1.0813127436198346
花叶类,销量加权成本,近14日中位数,近期滚动回测,2023-04-21,2023-04-22,2023-04-28,1015,7,2023-04-21,通过,0.034708990532456296,0.10310828245882833,0.16312787198235554,0.7142857142857143,1.0,1.0400075702956055
花叶类,销量加权成本,近14日中位数,近期滚动回测,2023-04-28,2023-04-29,2023-05-05,1022,7,2023-04-28,通过,0.1988578022070624,0.7279286370677374,0.1890532499334007,0.0,0.14285714285714285,0.9979382624723661
花叶类,销量加权成本,近14日中位数,近期滚动回测,2023-05-05,2023-05-06,2023-05-12,1029,7,2023-05-05,通过,0.08281789675595443,0.2954754942972799,0.26923581957548426,1.0,0.8571428571428571,1.2473623965755039
花叶类,销量加权成本,近14日中位数,近期滚动回测,2023-05-12,2023-05-13,2023-05-19,1036,7,2023-05-12,通过,0.05117055710700537,0.17404972765835497,0.11816181484064099,0.14285714285714285,1.0,1.3279960291618582
花叶类,销量加权成本,近14日中位数,近期滚动回测,2023-05-19,2023-05-20,2023-05-26,1043,7,2023-05-19,通过,0.09689476634030325,0.3058428533322191,0.2008738058893059,0.42857142857142855,1.0,1.1898354203938908
花叶类,销量加权成本,近14日中位数,近期滚动回测,2023-05-26,2023-05-27,2023-06-02,1050,7,2023-05-26,通过,0.036692043937157276,0.12572015750550897,0.07777528895116943,1.0,1.0,1.1208670214055712
花叶类,销量加权成本,近14日中位数,近期滚动回测,2023-06-02,2023-06-03,2023-06-09,1057,7,2023-06-02,通过,0.05009235410222416,0.17619137604647975,0.05910632381045233,0.14285714285714285,1.0,1.107090646906527
花叶类,销量加权成本,近14日中位数,近期滚动回测,2023-06-09,2023-06-10,2023-06-16,1064,7,2023-06-09,通过,0.03868134990805472,0.13621232924352786,0.13994239001443018,0.42857142857142855,1.0,1.005929330528291
花叶类,销量加权成本,近14日中位数,近期滚动回测,2023-06-16,2023-06-17,2023-06-23,1071,7,2023-06-16,通过,0.11009082054496805,0.35000130294803133,0.149622701800565,0.14285714285714285,0.7142857142857143,0.91889961563699
花叶类,销量加权成本,指数加权移动平均,八折主要回测,2021-03-31,2021-04-01,2021-04-07,272,7,2021-03-31,通过,0.09700460302239262,0.4287572645464876,0.2944346827205866,0.42857142857142855,1.0,1.7767867992810424
花叶类,销量加权成本,指数加权移动平均,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,通过,0.01958637753196829,0.07044801210781795,0.07855533571947786,0.8571428571428571,1.0,1.0931504375332022
花叶类,销量加权成本,指数加权移动平均,八折主要回测,2021-09-30,2021-10-01,2021-10-07,455,7,2021-09-30,通过,0.03882303412754667,0.1731058459172683,0.2201708836981456,0.5714285714285714,1.0,1.476587396282321
花叶类,销量加权成本,指数加权移动平均,八折主要回测,2021-12-31,2022-01-01,2022-01-07,547,7,2021-12-31,通过,0.06806679990530745,0.15662736088623172,0.18173613565139016,1.0,1.0,3.1123911416924908
花叶类,销量加权成本,指数加权移动平均,八折主要回测,2022-03-31,2022-04-01,2022-04-07,636,7,2022-03-31,通过,0.13241203697103976,0.48521673448239133,0.2237523330472885,0.5714285714285714,1.0,2.4237621865875134
花叶类,销量加权成本,指数加权移动平均,八折主要回测,2022-06-30,2022-07-01,2022-07-07,727,7,2022-06-30,通过,0.04344551910227115,0.12933743999435438,0.1898156077453026,0.8571428571428571,1.0,2.0667303022674695
花叶类,销量加权成本,指数加权移动平均,八折主要回测,2022-09-30,2022-10-01,2022-10-07,819,7,2022-09-30,通过,0.07077396642376162,0.1532600068940957,0.25845557509103617,0.8571428571428571,1.0,1.6341312454562757
花叶类,销量加权成本,指数加权移动平均,八折主要回测,2022-12-31,2023-01-01,2023-01-07,905,7,2022-12-31,通过,0.13807076829489848,0.36338250067076727,0.3793437819605762,0.14285714285714285,0.8571428571428571,1.8320350441819255
花叶类,销量加权成本,指数加权移动平均,近期滚动回测,2023-03-17,2023-03-18,2023-03-24,980,7,2023-03-17,通过,0.08470100526973252,0.23484661543663346,0.19036359713544782,0.5714285714285714,1.0,2.2320444232158354
花叶类,销量加权成本,指数加权移动平均,近期滚动回测,2023-03-24,2023-03-25,2023-03-31,987,7,2023-03-24,通过,0.11877538408611472,0.3865865754554519,0.3207136695321012,0.42857142857142855,1.0,2.257411260657019
花叶类,销量加权成本,指数加权移动平均,近期滚动回测,2023-03-31,2023-04-01,2023-04-07,994,7,2023-03-31,通过,0.08384577658051562,0.2513475392639328,0.2602504314672002,0.5714285714285714,1.0,1.7233678123480973
花叶类,销量加权成本,指数加权移动平均,近期滚动回测,2023-04-07,2023-04-08,2023-04-14,1001,7,2023-04-07,通过,0.07208142193750225,0.21264369149798495,0.32183040663736934,1.0,0.8571428571428571,1.1277597776013302
