口径,品类,需求模型,折组,训练截止日,测试开始日,测试结束日,训练样本数,测试样本数,使用最大日期,是否伪未来,泄漏检查,加权绝对百分比误差,平均绝对误差,均方根误差,平均绝对尺度误差,百分之十分位损失,百分之五十分位损失,百分之九十分位损失,百分之八十区间覆盖率,百分之八十区间平均宽度,百分之九十区间覆盖率,百分之九十区间平均宽度
正常销售,茄类,星期加月份对数回归,近期滚动回测,2023-05-19,2023-05-20,2023-05-26,1008,7,2023-05-19,否,通过,0.13620572420210275,3.4427164269717485,4.682957225107088,0.4327141316074186,1.1053772907864552,1.7213582134858743,1.9873991555587567,1.0,30.927764463452124,1.0,41.426674155225236
正常销售,茄类,星期加月份及趋势对数回归,近期滚动回测,2023-05-19,2023-05-20,2023-05-26,1008,7,2023-05-19,否,通过,0.26359362121500857,6.662554713598953,8.239710285502115,0.8374147677674944,1.4224151909278706,3.3312773567994767,0.6227477720175747,0.8571428571428571,19.907427063164366,1.0,28.04286555544201
正常销售,茄类,同星期最近4次均值,近期滚动回测,2023-05-26,2023-05-27,2023-06-02,1015,7,2023-05-26,否,通过,0.15486157288448152,3.8508099944273577,4.298829734932109,0.4853284873688066,1.519783126675911,1.9254049972136789,1.919441309852884,1.0,34.39224436528795,1.0,44.31046500967894
正常销售,茄类,同星期最近8次中位数,近期滚动回测,2023-05-26,2023-05-27,2023-06-02,1015,7,2023-05-26,否,通过,0.20627876113820856,5.129357142857143,6.091360412795439,0.6464674047589396,1.5793317326079772,2.5646785714285714,1.6495737867624822,1.0,32.28905519370459,1.0,41.982473894776724
正常销售,茄类,近7日均值,近期滚动回测,2023-05-26,2023-05-27,2023-06-02,1015,7,2023-05-26,否,通过,0.27869794269890785,6.930142857142856,9.491828854335713,0.8734255273498744,1.72254671243377,3.465071428571428,1.5252916806652848,0.8571428571428571,28.351518385004855,1.0,38.77227506069584
正常销售,茄类,近14日均值,近期滚动回测,2023-05-26,2023-05-27,2023-06-02,1015,7,2023-05-26,否,通过,0.2786979426989078,6.930142857142855,9.49182885433571,0.8734255273498743,1.72254671243377,3.4650714285714277,1.5252916806652848,0.8571428571428571,28.35151838500486,1.0,38.77227506069585
正常销售,茄类,星期加月份对数回归,近期滚动回测,2023-05-26,2023-05-27,2023-06-02,1015,7,2023-05-26,否,通过,0.2710940701148374,6.741063875199848,7.549413995119382,0.8495953678685105,0.9563636881887725,3.370531937599924,2.3497590743395027,1.0,33.06122762528276,1.0,44.24282889957602
正常销售,茄类,星期加月份及趋势对数回归,近期滚动回测,2023-05-26,2023-05-27,2023-06-02,1015,7,2023-05-26,否,通过,0.2021675544851161,5.027127290906109,7.433942037911175,0.6335830870483458,1.3050329894660617,2.5135636454530546,0.8308457146553195,1.0,21.358787041213812,1.0,29.78861798357303
正常销售,茄类,同星期最近4次均值,近期滚动回测,2023-06-02,2023-06-03,2023-06-09,1022,7,2023-06-02,否,通过,0.19876460009786875,5.036978915908705,6.939550841587464,0.6374053030335599,1.6260273423528342,2.5184894579543524,1.575566902577792,1.0,32.01594244930626,1.0,41.19798998307516
正常销售,茄类,同星期最近8次中位数,近期滚动回测,2023-06-02,2023-06-03,2023-06-09,1022,7,2023-06-02,否,通过,0.14673036811545187,3.7183571428571436,5.332893194264121,0.4705400997300537,1.5381945020626202,1.8591785714285718,1.9968874256090754,1.0,35.35081927671696,1.0,46.06267332644291
正常销售,茄类,近7日均值,近期滚动回测,2023-06-02,2023-06-03,2023-06-09,1022,7,2023-06-02,否,通过,0.2866791804835346,7.26485997513917,10.583321681993151,0.9193328682247542,1.7585443026662821,3.632429987569585,1.551222951689087,0.8571428571428571,28.24881224915555,1.0,38.710846903481475
