口径,品类,需求模型,折组,训练截止日,测试开始日,测试结束日,训练样本数,测试样本数,使用最大日期,是否伪未来,泄漏检查,加权绝对百分比误差,平均绝对误差,均方根误差,平均绝对尺度误差,百分之十分位损失,百分之五十分位损失,百分之九十分位损失,百分之八十区间覆盖率,百分之八十区间平均宽度,百分之九十区间覆盖率,百分之九十区间平均宽度
正常销售,花叶类,星期加月份对数回归,八折主要回测,2022-06-30,2022-07-01,2022-07-07,727,7,2022-06-30,是,通过,0.2998404684785069,46.220408215961854,49.49771889285343,1.2526416480883813,3.942152764417087,23.110204107980927,15.924818728727773,1.0,198.66971493144862,1.0,258.89650423961893
正常销售,花叶类,星期加月份及趋势对数回归,八折主要回测,2022-06-30,2022-07-01,2022-07-07,727,7,2022-06-30,是,通过,0.4175828096635132,64.37039010963056,66.34780680581862,1.7445330897612816,8.987804910846569,32.18519505481528,20.519286991900596,0.14285714285714285,67.69902065932453,0.2857142857142857,92.04906382484198
正常销售,花菜类,同星期最近4次均值,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.22773426538672817,9.910084292568865,12.064481959368232,0.5661421345182741,1.969236021376817,4.955042146284432,1.3917608274102276,1.0,33.60996848787045,1.0,49.232680939977556
正常销售,花菜类,同星期最近8次中位数,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.2507205888146231,10.91035714285714,13.964445908653673,0.6232856047294734,1.9857718724879696,5.45517857142857,2.260839952824381,0.8571428571428571,35.11612277798388,1.0,47.557623754148665
正常销售,花菜类,近7日均值,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.2122667524588657,9.237,12.118008529221528,0.5276902539029497,1.8865580198467364,4.6185,2.8251921604133186,0.8571428571428571,46.04556780770935,1.0,61.46058521822869
正常销售,花菜类,近14日均值,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.21226675245886575,9.237000000000004,12.11800852922153,0.5276902539029499,1.8865580198467362,4.618500000000002,2.8251921604133168,0.8571428571428571,46.04556780770934,1.0,61.46058521822868
正常销售,花菜类,星期加月份对数回归,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.2847081741791172,12.389360907578466,14.543900567028842,0.7077779585379842,2.002000627781982,6.194680453789233,3.0271976713037185,0.8571428571428571,41.04674005464254,0.8571428571428571,53.11967363173575
正常销售,花菜类,星期加月份及趋势对数回归,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.4357005441904319,18.959944880990836,22.506203320941566,1.0831415100396218,2.698621233357513,9.479972440495418,7.259481202521976,0.42857142857142855,21.363031719304814,0.42857142857142855,26.344311016754176
正常销售,花菜类,同星期最近4次均值,八折主要回测,2022-06-30,2022-07-01,2022-07-07,725,7,2022-06-30,是,通过,0.4345897684903981,17.299094071770863,19.526060836752013,1.1003004687450235,3.22164607853471,8.649547035885432,3.1470108322955683,0.5714285714285714,34.598944178889866,0.7142857142857143,45.63447506240309
正常销售,花菜类,同星期最近8次中位数,八折主要回测,2022-06-30,2022-07-01,2022-07-07,725,7,2022-06-30,是,通过,0.3994487490982956,15.900285714285713,17.934097322857216,1.0113299431764664,3.167585303665438,7.950142857142857,2.2481206823447644,0.7142857142857143,36.70368091315857,0.8571428571428571,48.671161330771916
正常销售,花菜类,近7日均值,八折主要回测,2022-06-30,2022-07-01,2022-07-07,725,7,2022-06-30,是,通过,0.2749758648286851,10.945571428571427,13.276123955647376,0.6961877496921678,2.9809028527623065,5.472785714285713,2.1630398043573873,1.0,51.43942657119693,1.0,69.41049427013297
正常销售,花菜类,近14日均值,八折主要回测,2022-06-30,2022-07-01,2022-07-07,725,7,2022-06-30,是,通过,0.2749758648286852,10.94557142857143,13.276123955647382,0.696187749692168,2.9809028527623065,5.472785714285715,2.163039804357387,1.0,51.439426571196925,1.0,69.41049427013296
正常销售,花菜类,星期加月份对数回归,八折主要回测,2022-06-30,2022-07-01,2022-07-07,725,7,2022-06-30,是,通过,0.4169065889184432,16.595205004235158,18.015400081889847,1.055529946789318,1.7925102215554098,8.297602502117579,7.726229024355823,1.0,95.18739245911233,1.0,130.84790792357344
