分类,模型,变量,系数,经典标准误,经典p值,稳健标准误,稳健p值,稳健95%下限,稳健95%上限
花菜类,对数模型,月份_06,-0.42733629429309283,0.09707220990519037,1.1793366981870423e-05,0.13702760138464676,0.0018658586437323456,-0.6962113135739549,-0.15846127501223067
花菜类,对数模型,月份_07,0.03294245447592402,0.09618670263788656,0.7320539516508406,0.14613631823435055,0.8216936839478457,-0.25380565310131137,0.31969056205315943
花菜类,对数模型,月份_08,-0.22189870333347592,0.0961700391948941,0.021226110417874724,0.2951080800120049,0.4522633543018895,-0.8009586146314378,0.3571612079644859
花菜类,对数模型,月份_09,-0.13634071699525455,0.0976885759607801,0.16310598571893226,0.22559984348260356,0.5457414270706076,-0.5790118405732884,0.3063304065827792
花菜类,对数模型,月份_10,-0.016402029160525848,0.09722036871337786,0.866056973638504,0.14647095885357414,0.9108592426441982,-0.30380676724166483,0.2710027089206131
花菜类,对数模型,月份_11,-0.49101959182856664,0.09936055002637001,8.986062050163408e-07,0.17883673316159468,0.006141258242913258,-0.8419323246726068,-0.14010685898452646
花菜类,对数模型,月份_12,-0.45251707872520325,0.09854066109669296,4.90988948923482e-06,0.13115039128653447,0.000581785779460696,-0.7098598595192238,-0.19517429793118274
花菜类,对数模型,星期_2,0.032574687750337894,0.07420802782355118,0.6607764034268505,0.047613061138470344,0.49402661884085897,-0.06085147312721417,0.12600084862788996
花菜类,对数模型,星期_3,0.0028166289222559364,0.07425313739557977,0.96974838212446,0.0585322605902568,0.9616288678404934,-0.1120351420766422,0.11766839992115408
花菜类,对数模型,星期_4,-0.0032732058998874367,0.07425761153999823,0.9648496529388376,0.05804290497314482,0.9550394257891692,-0.11716476523590433,0.11061835343612944
花菜类,对数模型,星期_5,0.1452043027494839,0.07438635804981601,0.05119682242489517,0.05855862143827196,0.01330544337792309,0.03030080659852359,0.2601077989004442
花菜类,对数模型,星期_6,0.4520126341557592,0.07436334520954815,1.6887654934699099e-09,0.05596331064001757,1.787993697584273e-15,0.34220164662254565,0.5618236216889728
花菜类,对数模型,星期_7,0.3909402460032937,0.07409840613485182,1.5996402718901546e-07,0.06086035201028308,2.0035285006364732e-10,0.2715203031972423,0.5103601888093451
水生根茎类,线性模型,截距,70.54485821158076,4.236157003565807,1.5971116065024195e-55,8.105789964453558,1.2085655385007627e-17,54.63974307892974,86.44997334423178
水生根茎类,线性模型,日平均售价,-1.2224924266371588,0.32772653172814015,0.0002013929229248586,0.7253217716525292,0.09219475677207545,-2.6457129069286927,0.20072805365437496
水生根茎类,线性模型,月份_02,-16.475816280260588,3.892794098684266,2.5113071373716065e-05,10.40471254979735,0.11360516405181012,-36.89185860955649,3.940226049035317
水生根茎类,线性模型,月份_03,-37.25892070099368,3.7696374235646535,4.211359470485989e-22,6.939411634157019,9.705659799979564e-08,-50.87537776170484,-23.642463640282514
水生根茎类,线性模型,月份_04,-47.8905944409194,3.8473310707348065,2.6228693695820653e-33,7.314470123095834,9.085493129009647e-11,-62.242988217756924,-33.53820066408188
水生根茎类,线性模型,月份_05,-50.43699033553952,4.017698130894004,8.201802468286236e-34,7.916604613252423,2.787923895225882e-10,-65.97088751096976,-34.90309316010927
水生根茎类,线性模型,月份_06,-42.10222181718965,4.708639946526378,1.6601094413692861e-18,9.911986841401477,2.349344473635684e-05,-61.55144176949078,-22.653001864888523
水生根茎类,线性模型,月份_07,-33.11691746399659,4.048788195206178,8.050348954512056e-16,11.031352526080578,0.0027439630279885783,-54.7625476574259,-11.471287270567284
水生根茎类,线性模型,月份_08,-20.42543252960354,3.7804822747164937,8.087753353718056e-08,10.37784011253096,0.04930645248150509,-40.788745981086024,-0.06211907812105366
水生根茎类,线性模型,月份_09,-24.957986485015432,3.794611971198947,7.495354252424014e-11,8.07691061649093,0.002053162186395339,-40.80643479600985,-9.10953817402101
水生根茎类,线性模型,月份_10,-25.857292723109463,3.7675229112592765,1.1404002140188939e-11,9.005241578446276,0.0041679879008831395,-43.52730449625311,-8.187280949965817
水生根茎类,线性模型,月份_11,-34.536378016050335,3.8300306484954088,8.75165573259149e-19,9.012440882519806,0.00013449218109079348,-52.22051620508517,-16.852239827015502
水生根茎类,线性模型,月份_12,-15.08983800611012,3.8130919327554915,8.079410209399085e-05,7.3694045693052095,0.0408406063658171,-29.550023706441856,-0.629652305778384
水生根茎类,线性模型,星期_2,-0.2650533436659536,2.894265724110411,0.9270499120033743,2.038887927803096,0.8965917621098118,-4.265742650505974,3.735635963174067
水生根茎类,线性模型,星期_3,-0.6947732728435435,2.9009700352942542,0.8107663555054394,2.2020170556038434,0.7524310899433612,-5.015553227299393,3.626006681612306
水生根茎类,线性模型,星期_4,-1.370776799270831,2.900631691043419,0.6366105055263712,2.171101198475878,0.5279313833543646,-5.630893910351609,2.8893403118099465
水生根茎类,线性模型,星期_5,4.510943584762388,2.90560770832887,0.12084047125036103,2.556669659764669,0.07795393370003309,-0.5057328246977342,9.52761999422251
